rule_id,condition,predicted_class,confidence,samples,weighted_samples,defect_prob,depth
0,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode <= 0.011761 AND lOCode <= 0.008021 AND i <= 0.075269 AND iv(g) <= 0.151075,0,0.6044657097288676,627,620.1004646489064,0.39553429027113235,8
1,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode <= 0.011761 AND lOCode <= 0.008021 AND i <= 0.075269 AND iv(g) > 0.151075 AND iv(g) <= 0.324329,0,0.9615384615384616,26,23.623726695703454,0.038461538461538464,9
2,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode <= 0.011761 AND lOCode <= 0.008021 AND i <= 0.075269 AND iv(g) > 0.151075 AND iv(g) > 0.324329,1,0.6666666666666666,3,3.1501154703637955,0.6666666666666666,9
3,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode <= 0.011761 AND lOCode <= 0.008021 AND i > 0.075269,0,0.9285714285714286,28,25.648757266814364,0.07142857142857142,7
4,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode <= 0.011761 AND lOCode > 0.008021,1,1.0,18,20.25152818655196,1.0,6
5,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i <= 0.056232 AND lOCode <= 0.015739 AND lOCode <= 0.012156,0,0.92,25,22.948920251240292,0.08,8
6,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i <= 0.056232 AND lOCode <= 0.015739 AND lOCode > 0.012156,1,1.0,4,4.500339597011546,1.0,8
7,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i <= 0.056232 AND lOCode > 0.015739,0,0.9770992366412213,131,118.56830069558553,0.022900763358778626,7
8,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i > 0.056232 AND lOBlank <= 0.022830 AND lOBlank <= 0.022255 AND lOBlank <= 0.000008,0,0.82,550,517.2589030340039,0.18,9
9,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i > 0.056232 AND lOBlank <= 0.022830 AND lOBlank <= 0.022255 AND lOBlank > 0.000008,1,1.0,61,68.63017885442606,1.0,9
10,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i > 0.056232 AND lOBlank <= 0.022830 AND lOBlank > 0.022255,0,0.898465171192444,847,781.6159576197033,0.10153482880755609,8
11,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i > 0.056232 AND lOBlank > 0.022830 AND lOBlank <= 0.045212,1,1.0,105,118.13391442155309,1.0,8
12,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) <= 0.390625 AND lOCode > 0.011761 AND i > 0.056232 AND lOBlank > 0.022830 AND lOBlank > 0.045212,0,0.7811735941320294,818,776.4554812835431,0.21882640586797067,8
13,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) <= 0.567308 AND ev(g) > 0.390625,0,1.0,14,12.599239406012314,0.0,4
14,loc <= 0.106064 AND lOBlank <= 0.045515 AND v(g) > 0.567308,1,1.0,5,5.625424496264433,1.0,3
15,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank <= 0.068014,1,1.0,162,182.26375367896762,1.0,3
16,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i <= 0.324288 AND lOCode <= 0.118113 AND i <= 0.053265,0,1.0,15,13.499185077870337,0.0,7
17,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i <= 0.324288 AND lOCode <= 0.118113 AND i > 0.053265 AND i <= 0.056562,1,0.75,12,12.825601108850046,0.75,8
18,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i <= 0.324288 AND lOCode <= 0.118113 AND i > 0.053265 AND i > 0.056562 AND lOCode <= 0.114110,0,0.7871064467766117,667,632.2335334193716,0.2128935532233883,9
19,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i <= 0.324288 AND lOCode <= 0.118113 AND i > 0.053265 AND i > 0.056562 AND lOCode > 0.114110,1,0.5714285714285714,7,7.200176612585613,0.5714285714285714,9
20,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i <= 0.324288 AND lOCode > 0.118113,0,1.0,20,17.998913437160454,0.0,6
21,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank <= 0.068218 AND i > 0.324288,0,1.0,21,18.898859109018478,0.0,5
22,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank <= 0.090843,1,1.0,172,193.51460267149648,1.0,5
23,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank > 0.090843 AND ev(g) <= 0.296875 AND v(g) <= 0.000858 AND locCodeAndComment <= 0.375000,0,0.8728323699421965,173,160.64366423412486,0.12716763005780346,8
24,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank > 0.090843 AND ev(g) <= 0.296875 AND v(g) <= 0.000858 AND locCodeAndComment > 0.375000,1,0.7142857142857143,7,7.4253158399804775,0.7142857142857143,8
25,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank > 0.090843 AND ev(g) <= 0.296875 AND v(g) > 0.000858 AND v(g) <= 0.019226,1,1.0,25,28.127122481322164,1.0,8
26,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank > 0.090843 AND ev(g) <= 0.296875 AND v(g) > 0.000858 AND v(g) > 0.019226,0,0.5816176470588236,1360,1352.0303341145882,0.4183823529411765,8
27,loc <= 0.106064 AND lOBlank > 0.045515 AND lOBlank > 0.068014 AND lOBlank > 0.068218 AND lOBlank > 0.090843 AND ev(g) > 0.296875,0,1.0,5,4.4997283592901125,0.0,6
28,loc > 0.106064 AND loc <= 0.250296 AND loc <= 0.108864,1,1.0,30,33.75254697758659,1.0,3
29,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc <= 0.108908 AND iv(g) <= 0.136364 AND lOBlank <= 0.170455 AND locCodeAndComment <= 0.312500,0,0.6101694915254238,59,58.27499686970519,0.3898305084745763,9
30,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc <= 0.108908 AND iv(g) <= 0.136364 AND lOBlank <= 0.170455 AND locCodeAndComment > 0.312500,1,0.8,5,5.400285268869569,0.8,9
31,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc <= 0.108908 AND iv(g) <= 0.136364 AND lOBlank > 0.170455,0,1.0,7,6.299619703006157,0.0,8
32,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc <= 0.108908 AND iv(g) > 0.136364,0,1.0,10,8.999456718580225,0.0,7
33,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc > 0.108908 AND loc <= 0.111842,1,1.0,29,32.62746207833371,1.0,7
34,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc > 0.108908 AND loc > 0.111842 AND loc <= 0.111931,0,0.7666666666666667,60,57.148689495009435,0.23333333333333334,8
35,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) <= 0.365460 AND loc > 0.108908 AND loc > 0.111842 AND loc > 0.111931,1,0.521849593495935,1968,2002.3110687511137,0.521849593495935,8
36,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) > 0.365460 AND iv(g) <= 0.878788 AND locCodeAndComment <= 0.625540 AND locCodeAndComment <= 0.118384,1,0.7241379310344828,58,61.652696518349586,0.7241379310344828,8
37,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) > 0.365460 AND iv(g) <= 0.878788 AND locCodeAndComment <= 0.625540 AND locCodeAndComment > 0.118384,0,0.6666666666666666,9,8.774928728906794,0.3333333333333333,8
38,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) > 0.365460 AND iv(g) <= 0.878788 AND locCodeAndComment > 0.625540,1,1.0,10,11.250848992528866,1.0,7
39,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i <= 0.610270 AND v(g) > 0.365460 AND iv(g) > 0.878788,0,1.0,4,3.5997826874320897,0.0,6
40,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i > 0.610270 AND loc <= 0.141468,0,0.7142857142857143,7,6.749898157795886,0.2857142857142857,5
41,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i > 0.610270 AND loc > 0.141468 AND lOCode <= 0.192606,1,1.0,20,22.50169798505773,1.0,6
42,loc > 0.106064 AND loc <= 0.250296 AND loc > 0.108864 AND i > 0.610270 AND loc > 0.141468 AND lOCode > 0.192606 AND lOCode <= 0.206198,0,0.75,4,3.824921914826954,0.25,7
