max_depth,min_samples_split,min_samples_leaf,confidence_factor,mean_cv_f1,std_cv_f1,mean_train_f1,f1_gap
9,15,3,0.25,0.6295270991979407,0.024863422509699282,0.6521426293442406,0.02261553014629991
9,10,3,0.25,0.6291820523524547,0.024817048305934966,0.652917858472752,0.023735806120297243
9,15,5,0.25,0.6277840775238418,0.027291252478409505,0.6531383976987002,0.02535432017485839
9,10,5,0.25,0.6276967427713286,0.026638178997238193,0.6543432058069881,0.02664646303565954
8,10,5,0.25,0.6128541430300292,0.016765450860765033,0.6326999908569881,0.019845847826958973
8,15,5,0.25,0.6122324431992393,0.017460319074767208,0.6315234052964664,0.019290962097227138
8,10,3,0.25,0.6118383172880275,0.015326519671472876,0.632242966532784,0.02040464924475649
8,15,3,0.25,0.6116405391064598,0.015770928092384003,0.6314803961247962,0.01983985701833646
7,10,3,0.25,0.6047566388565018,0.021208900259975,0.6251625784434106,0.02040593958690884
7,15,3,0.25,0.6047324355893964,0.02142600487346771,0.6246009881660006,0.019868552576604248
7,10,5,0.25,0.6027619612229516,0.024257907356822834,0.6239671023391927,0.021205141116241166
7,15,5,0.25,0.6027388175653872,0.024469356343353416,0.6234462897224677,0.020707472157080575
