rule_id,condition,predicted_class,confidence,samples,defect_prob
0,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc <= 0.0360 AND i <= 0.0874,0,0.6592589467244366,400,0.34074105327556337
1,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc <= 0.0360 AND i > 0.0874,0,0.9397513461024402,41,0.06024865389755979
2,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc > 0.0360 AND v(g) <= 0.0365 AND loc <= 0.0640,1,0.7931257357142633,61,0.7931257357142633
3,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc > 0.0360 AND v(g) <= 0.0365 AND loc > 0.0640,0,0.6153524658679298,18,0.38464753413207026
4,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc > 0.0360 AND v(g) > 0.0365 AND loc <= 0.0913,0,0.6443561916379182,271,0.35564380836208176
5,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b <= 0.0034 AND loc > 0.0360 AND v(g) > 0.0365 AND loc > 0.0913,1,0.6065897917013036,67,0.6065897917013036
6,loc <= 0.1061 AND lOBlank <= 0.0455 AND b <= 0.0069 AND b > 0.0034,1,1.0,28,1.0
7,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank <= 0.0228 AND lOBlank <= 0.0223 AND lOBlank <= 0.0000,0,0.8132947152732797,535,0.1867052847267203
8,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank <= 0.0228 AND lOBlank <= 0.0223 AND lOBlank > 0.0000,1,1.0,47,1.0
9,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank <= 0.0228 AND lOBlank > 0.0223 AND b <= 0.0585,0,0.905885534403252,782,0.09411446559674798
10,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank <= 0.0228 AND lOBlank > 0.0223 AND b > 0.0585,0,0.6056457925076986,73,0.3943542074923014
11,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank > 0.0228 AND lOBlank <= 0.0452,1,1.0,102,1.0
12,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank > 0.0228 AND lOBlank > 0.0452 AND i <= 0.0688,0,0.943813022110522,88,0.056186977889477956
13,loc <= 0.1061 AND lOBlank <= 0.0455 AND b > 0.0069 AND lOBlank > 0.0228 AND lOBlank > 0.0452 AND i > 0.0688,0,0.7240346710805113,749,0.2759653289194888
14,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank <= 0.0680,1,1.0,162,1.0
15,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank <= 0.0682 AND b <= 0.0204 AND v(g) <= 0.0004,0,0.8412517024403743,61,0.15874829755962583
16,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank <= 0.0682 AND b <= 0.0204 AND v(g) > 0.0004,0,0.5912715223653067,132,0.40872847763469333
17,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank <= 0.0682 AND b > 0.0204,0,0.7822068262107497,549,0.21779317378925028
18,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank > 0.0682 AND lOBlank <= 0.0908,1,1.0,172,1.0
19,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank > 0.0682 AND lOBlank > 0.0908 AND v(g) <= 0.0009,0,0.8192569963449893,180,0.18074300365501067
20,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank > 0.0682 AND lOBlank > 0.0908 AND v(g) > 0.0009 AND lOBlank <= 0.0910,0,0.6398190259898131,496,0.36018097401018695
21,loc <= 0.1061 AND lOBlank > 0.0455 AND lOBlank > 0.0680 AND lOBlank > 0.0682 AND lOBlank > 0.0908 AND v(g) > 0.0009 AND lOBlank > 0.0910,1,0.547842411653852,894,0.547842411653852
22,loc > 0.1061 AND loc <= 0.2503 AND loc <= 0.1089,1,1.0,30,1.0
23,loc > 0.1061 AND loc <= 0.2503 AND loc > 0.1089 AND lOBlank <= 0.1591 AND locCodeAndComment <= 0.1279 AND b <= 0.0292,1,0.6232369496042472,381,0.6232369496042472
24,loc > 0.1061 AND loc <= 0.2503 AND loc > 0.1089 AND lOBlank <= 0.1591 AND locCodeAndComment <= 0.1279 AND b > 0.0292 AND i <= 0.1221,0,0.8912911878337476,45,0.10870881216625239
25,loc > 0.1061 AND loc <= 0.2503 AND loc > 0.1089 AND lOBlank <= 0.1591 AND locCodeAndComment <= 0.1279 AND b > 0.0292 AND i > 0.1221,0,0.5472914494823431,663,0.4527085505176569
26,loc > 0.1061 AND loc <= 0.2503 AND loc > 0.1089 AND lOBlank <= 0.1591 AND locCodeAndComment > 0.1279 AND i <= 0.1395,0,0.9230672778187999,16,0.0769327221812001
27,loc > 0.1061 AND loc <= 0.2503 AND loc > 0.1089 AND lOBlank <= 0.1591 AND locCodeAndComment > 0.1279 AND i > 0.1395,1,0.7622985149360415,164,0.7622985149360415
