conditions,output_term,defect_probability,samples,weighted_samples,depth,path_sample_count,average_membership,minimum_membership,feature_score_details,source_rules,source_rule_count,rule_id,rule_text,rule_weight,rule_support,rule_certainty,conditions_text
"{'lOBlank': 'Medium', 'loc': 'Medium', 'v_g': 'Medium'}",Medium,0.48264685108887784,1390,1384.65718495521,7,1390,0.6058529829953423,0.46240828866317146,"{'loc': {'lower': None, 'upper': 0.10606422647833824, 'selected_term': 'Medium', 'selected_membership': 0.7698004618483539, 'sample_count': 894, 'mapping_status': None, 'all_memberships': {'Low': 0.196870980227713, 'Medium': 0.7698004618483539, 'High': 0.03332855792393288}}, 'v_g': {'lower': 0.0008576666004955769, 'upper': None, 'selected_term': 'Medium', 'selected_membership': 0.5416827197355834, 'sample_count': 894, 'mapping_status': None, 'all_memberships': {'Low': 0.3171414794215102, 'Medium': 0.5416827197355834, 'High': 0.14117580084290646}}, 'lOBlank': {'lower': 0.09104897454380989, 'upper': None, 'selected_term': 'Medium', 'selected_membership': 0.5113647668745234, 'sample_count': 894, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.5113647668745234, 'High': 0.4886352331254765}}}","[{'output_term': 'Medium', 'defect_probability': 0.36018097401018695, 'samples': 496, 'weighted_samples': 481.0444942603867, 'depth': 7}, {'output_term': 'Medium', 'defect_probability': 0.547842411653852, 'samples': 894, 'weighted_samples': 903.6126906948232, 'depth': 7}]",2,1,IF (lOBlank IS Medium) AND (loc IS Medium) AND (v_g IS Medium) THEN (Risk IS Medium) WEIGHT 0.5174,0.5173531489111222,1.0,0.5173531489111222,lOBlank IS Medium AND loc IS Medium AND v_g IS Medium
"{'b': 'Low', 'lOBlank': 'Low', 'loc': 'Low'}",Low,0.13215381433002063,1317,1217.4233593544857,6,1317,0.8922000803686033,0.7632838497989614,"{'loc': {'lower': None, 'upper': 0.10606422647833824, 'selected_term': 'Low', 'selected_membership': 0.8825197596855633, 'sample_count': 782, 'mapping_status': None, 'all_memberships': {'Low': 0.8825197596855633, 'Medium': 0.11700937502359172, 'High': 0.00047086529084500417}}, 'b': {'lower': 0.006857630796730518, 'upper': 0.05852450616657734, 'selected_term': 'Low', 'selected_membership': 0.7632838497989614, 'sample_count': 782, 'mapping_status': None, 'all_memberships': {'Low': 0.7632838497989614, 'Medium': 0.22685606552024815, 'High': 0.009860084680790452}}, 'lOBlank': {'lower': 0.022255269810557365, 'upper': 0.022829988971352577, 'selected_term': 'Low', 'selected_membership': 0.9433467824522576, 'sample_count': 782, 'mapping_status': None, 'all_memberships': {'Low': 0.9433467824522576, 'Medium': 0.056653217547742336, 'High': 0.0}}}","[{'output_term': 'Low', 'defect_probability': 0.1867052847267203, 'samples': 535, 'weighted_samples': 500.15749031781394, 'depth': 6}, {'output_term': 'Low', 'defect_probability': 0.09411446559674798, 'samples': 782, 'weighted_samples': 717.2658690366717, 'depth': 6}]",2,2,IF (b IS Low) AND (lOBlank IS Low) AND (loc IS Low) THEN (Risk IS Low) WEIGHT 0.7630,0.7630309005297216,0.8792236609770426,0.8678461856699794,b IS Low AND lOBlank IS Low AND loc IS Low
"{'i': 'High', 'lOBlank': 'High', 'loc': 'High'}",Medium,0.6582694396725953,747,774.2474868878235,7,747,0.7900433929460089,0.665869985082141,"{'loc': {'lower': 0.10886405408382416, 'upper': 0.2502959072589874, 'selected_term': 'High', 'selected_membership': 0.665869985082141, 'sample_count': 747, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.334130014917859, 'High': 0.665869985082141}}, 'i': {'lower': 0.13496214896440506, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.7067861731820813, 'sample_count': 747, 'mapping_status': None, 'all_memberships': {'Low': 0.0010166058246351502, 'Medium': 0.2921972209932837, 'High': 0.7067861731820813}}, 'lOBlank': {'lower': 0.18186065554618835, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.9974740205738045, 'sample_count': 747, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.002525979426195505, 'High': 0.9974740205738045}}}","[{'output_term': 'Medium', 'defect_probability': 0.6582694396725953, 'samples': 747, 'weighted_samples': 774.2474868878235, 'depth': 7}]",1,3,IF (i IS High) AND (lOBlank IS High) AND (loc IS High) THEN (Risk IS Medium) WEIGHT 0.3681,0.3680791642142448,0.5591618599176,0.6582694396725953,i IS High AND lOBlank IS High AND loc IS High
"{'b': 'Low', 'i': 'Medium', 'lOBlank': 'Medium', 'loc': 'Low'}",Low,0.2759653289194888,749,713.458673015766,6,749,0.5911585357957209,0.49280148911994226,"{'loc': {'lower': None, 'upper': 0.10606422647833824, 'selected_term': 'Low', 'selected_membership': 0.7333058395135809, 'sample_count': 749, 'mapping_status': None, 'all_memberships': {'Low': 0.7333058395135809, 'Medium': 0.2622564044708098, 'High': 0.004437756015609433}}, 'i': {'lower': 0.0688408613204956, 'upper': None, 'selected_term': 'Medium', 'selected_membership': 0.49280148911994226, 'sample_count': 749, 'mapping_status': None, 'all_memberships': {'Low': 0.36206990098450204, 'Medium': 0.49280148911994226, 'High': 0.1451286099021883}}, 'b': {'lower': 0.006857630796730518, 'upper': None, 'selected_term': 'Low', 'selected_membership': 0.6097634507704275, 'sample_count': 749, 'mapping_status': None, 'all_memberships': {'Low': 0.6097634507704275, 'Medium': 0.335977716656395, 'High': 0.054258832573177485}}, 'lOBlank': {'lower': 0.04521171934902668, 'upper': 0.045515356585383415, 'selected_term': 'Medium', 'selected_membership': 0.528763363778933, 'sample_count': 749, 'mapping_status': None, 'all_memberships': {'Low': 0.47123663622106726, 'Medium': 0.528763363778933, 'High': 0.0}}}","[{'output_term': 'Low', 'defect_probability': 0.2759653289194888, 'samples': 749, 'weighted_samples': 713.458673015766, 'depth': 6}]",1,4,IF (b IS Low) AND (i IS Medium) AND (lOBlank IS Medium) AND (loc IS Low) THEN (Risk IS Low) WEIGHT 0.3731,0.37306621542083557,0.5152601530311955,0.7240346710805112,b IS Low AND i IS Medium AND lOBlank IS Medium AND loc IS Low
"{'b': 'High', 'ev_g': 'High', 'i': 'High', 'loc': 'High', 'v_g': 'High'}",High,0.8202300030688081,637,685.8350066709976,7,637,0.9894734454212524,0.94736729941026,"{'loc': {'lower': 0.2502959072589874, 'upper': None, 'selected_term': 'High', 'selected_membership': 1.0, 'sample_count': 637, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.0, 'High': 1.0}}, 'v_g': {'lower': 0.21172580122947693, 'upper': None, 'selected_term': 'High', 'selected_membership': 1.0, 'sample_count': 637, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.0, 'High': 1.0}}, 'ev_g': {'lower': 0.061987048014998436, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.94736729941026, 'sample_count': 637, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.05263270058974023, 'High': 0.94736729941026}}, 'i': {'lower': 0.2728484719991684, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.9999999276960031, 'sample_count': 637, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 7.230399687239232e-08, 'High': 0.9999999276960031}}, 'b': {'lower': 0.15277396887540817, 'upper': None, 'selected_term': 'High', 'selected_membership': 1.0, 'sample_count': 637, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.0, 'High': 1.0}}}","[{'output_term': 'High', 'defect_probability': 0.8202300030688081, 'samples': 637, 'weighted_samples': 685.8350066709976, 'depth': 7}]",1,5,IF (b IS High) AND (ev_g IS High) AND (i IS High) AND (loc IS High) AND (v_g IS High) THEN (Risk IS High) WEIGHT 0.4063,0.40626839317245533,0.4953103296056508,0.8202300030688081,b IS High AND ev_g IS High AND i IS High AND loc IS High AND v_g IS High
"{'b': 'High', 'i': 'High', 'lOBlank': 'Medium', 'loc': 'Medium', 'locCodeAndComment': 'Low'}",Medium,0.45270855051765685,663,656.1007364741172,7,663,0.6472417399347272,0.5698411809327938,"{'loc': {'lower': 0.10886405408382416, 'upper': 0.2502959072589874, 'selected_term': 'Medium', 'selected_membership': 0.5698411809327938, 'sample_count': 663, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.5698411809327938, 'High': 0.43015881906720627}}, 'i': {'lower': 0.12205105274915695, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.5698754081925104, 'sample_count': 663, 'mapping_status': None, 'all_memberships': {'Low': 0.018821716054521275, 'Medium': 0.4113028757529683, 'High': 0.5698754081925104}}, 'b': {'lower': 0.029181543737649918, 'upper': None, 'selected_term': 'High', 'selected_membership': 0.6406207282627455, 'sample_count': 663, 'mapping_status': None, 'all_memberships': {'Low': 0.0009333122892746462, 'Medium': 0.3584459594479799, 'High': 0.6406207282627455}}, 'lOBlank': {'lower': None, 'upper': 0.15910391509532928, 'selected_term': 'Medium', 'selected_membership': 0.5772848223527658, 'sample_count': 663, 'mapping_status': None, 'all_memberships': {'Low': 0.0854210460149844, 'Medium': 0.5772848223527658, 'High': 0.3372941316322498}}, 'locCodeAndComment': {'lower': None, 'upper': 0.1279362514615059, 'selected_term': 'Low', 'selected_membership': 0.878586559932821, 'sample_count': 663, 'mapping_status': None, 'all_memberships': {'Low': 0.878586559932821, 'Medium': 0.007682168465600668, 'High': 0.11373127160157838}}}","[{'output_term': 'Medium', 'defect_probability': 0.4527085505176569, 'samples': 663, 'weighted_samples': 656.1007364741172, 'depth': 7}]",1,6,IF (b IS High) AND (i IS High) AND (lOBlank IS Medium) AND (loc IS Medium) AND (locCodeAndComment IS Low) THEN (Risk IS Medium) WEIGHT 0.2593,0.2593265155974095,0.47383622719246593,0.5472914494823431,b IS High AND i IS High AND lOBlank IS Medium AND loc IS Medium AND locCodeAndComment IS Low
"{'b': 'Medium', 'lOBlank': 'Medium', 'loc': 'Low'}",Low,0.21779317378925028,549,516.5840965895392,5,549,0.6959651204884413,0.5279024947096496,"{'loc': {'lower': None, 'upper': 0.10606422647833824, 'selected_term': 'Low', 'selected_membership': 0.5279024947096496, 'sample_count': 549, 'mapping_status': None, 'all_memberships': {'Low': 0.5279024947096496, 'Medium': 0.4648500876465899, 'High': 0.00724741764376045}}, 'b': {'lower': 0.02035187091678381, 'upper': None, 'selected_term': 'Medium', 'selected_membership': 0.5603146269275963, 'sample_count': 549, 'mapping_status': None, 'all_memberships': {'Low': 0.3588674833381858, 'Medium': 0.5603146269275963, 'High': 0.08081788973421797}}, 'lOBlank': {'lower': 0.06801361590623856, 'upper': 0.06821781769394875, 'selected_term': 'Medium', 'selected_membership': 0.999678239828078, 'sample_count': 549, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.999678239828078, 'High': 0.00032176017192193874}}}","[{'output_term': 'Low', 'defect_probability': 0.21779317378925028, 'samples': 549, 'weighted_samples': 516.5840965895392, 'depth': 5}]",1,7,IF (b IS Medium) AND (lOBlank IS Medium) AND (loc IS Low) THEN (Risk IS Low) WEIGHT 0.2918,0.2918235726898147,0.37307725132430475,0.7822068262107498,b IS Medium AND lOBlank IS Medium AND loc IS Low
"{'b': 'Low', 'lOBlank': 'Low', 'loc': 'High', 'locCodeAndComment': 'Low'}",Medium,0.6232369496042472,381,391.7345133225932,6,381,0.8949946080455246,0.5871870889137943,"{'loc': {'lower': 0.10886405408382416, 'upper': 0.2502959072589874, 'selected_term': 'High', 'selected_membership': 0.5871870889137943, 'sample_count': 381, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.4128129110862057, 'High': 0.5871870889137943}}, 'b': {'lower': None, 'upper': 0.029181543737649918, 'selected_term': 'Low', 'selected_membership': 0.9980406871003251, 'sample_count': 381, 'mapping_status': None, 'all_memberships': {'Low': 0.9980406871003251, 'Medium': 0.0019593128996749343, 'High': 0.0}}, 'lOBlank': {'lower': None, 'upper': 0.15910391509532928, 'selected_term': 'Low', 'selected_membership': 0.994750656167979, 'sample_count': 381, 'mapping_status': None, 'all_memberships': {'Low': 0.994750656167979, 'Medium': 0.00342189875071102, 'High': 0.0018274450813099777}}, 'locCodeAndComment': {'lower': None, 'upper': 0.1279362514615059, 'selected_term': 'Low', 'selected_membership': 1.0, 'sample_count': 381, 'mapping_status': None, 'all_memberships': {'Low': 1.0, 'Medium': 0.0, 'High': 0.0}}}","[{'output_term': 'Medium', 'defect_probability': 0.6232369496042472, 'samples': 381, 'weighted_samples': 391.7345133225932, 'depth': 6}]",1,8,IF (b IS Low) AND (lOBlank IS Low) AND (loc IS High) AND (locCodeAndComment IS Low) THEN (Risk IS Medium) WEIGHT 0.1763,0.1763204826368447,0.28291082989994004,0.6232369496042472,b IS Low AND lOBlank IS Low AND loc IS High AND locCodeAndComment IS Low
"{'b': 'Low', 'i': 'Low', 'lOBlank': 'Low', 'loc': 'Low'}",Medium,0.3407410532755634,400,386.319558348408,6,400,0.9871038397398092,0.9634454040584134,"{'loc': {'lower': None, 'upper': 0.03602169267833233, 'selected_term': 'Low', 'selected_membership': 0.9988009116822661, 'sample_count': 400, 'mapping_status': None, 'all_memberships': {'Low': 0.9988009116822661, 'Medium': 0.001199088317734009, 'High': 0.0}}, 'i': {'lower': None, 'upper': 0.08744272962212563, 'selected_term': 'Low', 'selected_membership': 0.9861690432185573, 'sample_count': 400, 'mapping_status': None, 'all_memberships': {'Low': 0.9861690432185573, 'Medium': 0.01383095678144272, 'High': 0.0}}, 'b': {'lower': None, 'upper': 0.003442299785092473, 'selected_term': 'Low', 'selected_membership': 1.0, 'sample_count': 400, 'mapping_status': None, 'all_memberships': {'Low': 1.0, 'Medium': 0.0, 'High': 0.0}}, 'lOBlank': {'lower': None, 'upper': 0.045515356585383415, 'selected_term': 'Low', 'selected_membership': 0.9634454040584134, 'sample_count': 400, 'mapping_status': None, 'all_memberships': {'Low': 0.9634454040584134, 'Medium': 0.03655459594158668, 'High': 0.0}}}","[{'output_term': 'Medium', 'defect_probability': 0.34074105327556337, 'samples': 400, 'weighted_samples': 386.319558348408, 'depth': 6}]",1,9,IF (b IS Low) AND (i IS Low) AND (lOBlank IS Low) AND (loc IS Low) THEN (Risk IS Medium) WEIGHT 0.1839,0.1839333431430245,0.2790001471453777,0.6592589467244365,b IS Low AND i IS Low AND lOBlank IS Low AND loc IS Low
"{'lOBlank': 'Medium', 'loc': 'Low'}",High,1.0,334,375.77835635046466,5,334,0.7382744974878608,0.5600436787187464,"{'loc': {'lower': None, 'upper': 0.10606422647833824, 'selected_term': 'Low', 'selected_membership': 0.5600436787187464, 'sample_count': 172, 'mapping_status': None, 'all_memberships': {'Low': 0.5600436787187464, 'Medium': 0.4337321428970061, 'High': 0.006224178384247486}}, 'lOBlank': {'lower': 0.06821781769394875, 'upper': 0.09084270521998405, 'selected_term': 'Medium', 'selected_membership': 0.9168338650590829, 'sample_count': 172, 'mapping_status': None, 'all_memberships': {'Low': 0.0, 'Medium': 0.9168338650590829, 'High': 0.08316613494091703}}}","[{'output_term': 'High', 'defect_probability': 1.0, 'samples': 162, 'weighted_samples': 182.26375367896784, 'depth': 3}, {'output_term': 'High', 'defect_probability': 1.0, 'samples': 172, 'weighted_samples': 193.51460267149682, 'depth': 5}]",2,10,IF (lOBlank IS Medium) AND (loc IS Low) THEN (Risk IS High) WEIGHT 0.2714,0.2713872866391981,0.2713872866391981,1.0,lOBlank IS Medium AND loc IS Low
